cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Piet Retief","http://postalcodez.co.za/postalcodes/mp/gert-sibande/piet-retief","Ethandokukhanya","http://ethandokukhanya.postalcodez.co.za/postalcode/mp/gert-sibande/piet-retief/ethandokukhanya","Location: Ethandokukhanya","-------","2380","Piet Retief","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Uthokozani","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/uthokozani","Uthokozani","http://uthokozani.postalcodez.co.za/postalcode/mp/ehlanzeni/uthokozani/uthokozani","Location: Uthokozani","-------","1346","Uthokozani","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Hlalanikahle Uit 4","http://hlalanikahle-uit-4.postalcodez.co.za/postalcode/mp/nkangala/witbank/hlalanikahle-uit-4","Location: Hlalanikahle Uit 4","1045","1045","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Acornhoek","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/acornhoek","Khokhovela","http://khokhovela.postalcodez.co.za/postalcode/mp/ehlanzeni/acornhoek/khokhovela","Location: Khokhovela","-------","1367","Acornhoek","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Komatipoort","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/komatipoort","Mazolwandle","http://mazolwandle.postalcodez.co.za/postalcode/mp/ehlanzeni/komatipoort/mazolwandle","Location: Mazolwandle","-------","1344","Komatipoort","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Nelspruit","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/nelspruit","Mbombela-Noord","http://mbombela-noord.postalcodez.co.za/postalcode/mp/ehlanzeni/nelspruit/mbombela-noord","Location: Mbombela-Noord","1201","1219","Nelspruit","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Evander","http://postalcodez.co.za/postalcodes/mp/gert-sibande/evander","Embalenhle Uit 20","http://embalenhle-uit-20.postalcodez.co.za/postalcode/mp/gert-sibande/evander/embalenhle-uit-20","Location: Embalenhle Uit 20","2285","2285","Evander","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Mpumalanga","http://postalcodez.co.za/postalcodes/mp/gert-sibande/mpumalanga","Balfour","http://balfour.postalcodez.co.za/postalcode/mp/gert-sibande/mpumalanga/balfour","Location: Balfour","2410","2410","Mpumalanga","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Gert Sibande","http://postalcodez.co.za/postalcodes/mp/gert-sibande","Standerton","http://postalcodez.co.za/postalcodes/mp/gert-sibande/standerton","Cosmos Park","http://cosmos-park.postalcodez.co.za/postalcode/mp/gert-sibande/standerton/cosmos-park","Location: Cosmos Park","2429","-------","Standerton","Gert Sibande","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Ehlanzeni","http://postalcodez.co.za/postalcodes/mp/ehlanzeni","Mkhuhlu","http://postalcodez.co.za/postalcodes/mp/ehlanzeni/mkhuhlu","Cork","http://cork.postalcodez.co.za/postalcode/mp/ehlanzeni/mkhuhlu/cork","Location: Cork","-------","1246","Mkhuhlu","Ehlanzeni","Mpumalanga","MP Capital City:Nelspruit","South Africa"
"Nelspruit","1201","1200","Nkangala","http://postalcodez.co.za/postalcodes/mp/nkangala","Witbank","http://postalcodez.co.za/postalcodes/mp/nkangala/witbank","Blancheville","http://blancheville.postalcodez.co.za/postalcode/mp/nkangala/witbank/blancheville","Location: Blancheville","1034","-------","Witbank","Nkangala","Mpumalanga","MP Capital City:Nelspruit","South Africa"
