province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Port Nolloth;http://postalcodez.co.za/postalcodes/nc/namakwa/port-nolloth;Sizamele;http://sizamele.postalcodez.co.za/postalcode/nc/namakwa/port-nolloth/sizamele;Location: Sizamele;-------;8280;Port Nolloth;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Keimoes;http://postalcodez.co.za/postalcodes/nc/siyanda/keimoes;Keimoes Uit 8;http://keimoes-uit-8.postalcodez.co.za/postalcode/nc/siyanda/keimoes/keimoes-uit-8;Location: Keimoes Uit 8;8860;-------;Keimoes;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Marydale;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/marydale;Marydale;http://marydale.postalcodez.co.za/postalcode/nc/pixley-ka-seme/marydale/marydale;Location: Marydale;8910;8910;Marydale;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;Philipstown;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/philipstown;Lukhanyisweni;http://lukhanyisweni.postalcodez.co.za/postalcode/nc/pixley-ka-seme/philipstown/lukhanyisweni;Location: Lukhanyisweni;-------;8795;Philipstown;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Alexander Bay;http://postalcodez.co.za/postalcodes/nc/namakwa/alexander-bay;Alexander Bay;http://alexander-bay.postalcodez.co.za/postalcode/nc/namakwa/alexander-bay/alexander-bay;Location: Alexander Bay;-------;8290;Alexander Bay;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Frances Baard;http://postalcodez.co.za/postalcodes/nc/frances-baard;Kimberley;http://postalcodez.co.za/postalcodes/nc/frances-baard/kimberley;Florianville;http://florianville.postalcodez.co.za/postalcode/nc/frances-baard/kimberley/florianville;Location: Florianville;8301;8320;Kimberley;Frances Baard;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Rooiblok;http://rooiblok.postalcodez.co.za/postalcode/nc/siyanda/upington/rooiblok;Location: Rooiblok;8801;-------;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Namakwa;http://postalcodez.co.za/postalcodes/nc/namakwa;Sutherland;http://postalcodez.co.za/postalcodes/nc/namakwa/sutherland;Sutherland;http://sutherland.postalcodez.co.za/postalcode/nc/namakwa/sutherland/sutherland;Location: Sutherland;6920;6920;Sutherland;Namakwa;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Siyanda;http://postalcodez.co.za/postalcodes/nc/siyanda;Upington;http://postalcodez.co.za/postalcodes/nc/siyanda/upington;Dyasonsklip;http://dyasonsklip.postalcodez.co.za/postalcode/nc/siyanda/upington/dyasonsklip;Location: Dyasonsklip;-------;8805;Upington;Siyanda;Northern Cape;NC Capital City:Kimberley;South Africa
Northern Cape;http://postalcodez.co.za/postalcodes/nc;Kimberley;8301;8301;Pixley ka Seme;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme;De Aar;http://postalcodez.co.za/postalcodes/nc/pixley-ka-seme/de-aar;Barcelona;http://barcelona.postalcodez.co.za/postalcode/nc/pixley-ka-seme/de-aar/barcelona;Location: Barcelona;-------;7000;De Aar;Pixley ka Seme;Northern Cape;NC Capital City:Kimberley;South Africa
