cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Keiweg","http://postalcodez.co.za/postalcodes/ec/amatole/keiweg","Keiweg","http://keiweg.postalcodez.co.za/postalcode/ec/amatole/keiweg/keiweg","Location: Keiweg","-------","4920","Keiweg","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Onder-Smoordrif","http://postalcodez.co.za/postalcodes/ec/cacadu/onder-smoordrif","Onder-Smoordrif","http://onder-smoordrif.postalcodez.co.za/postalcode/ec/cacadu/onder-smoordrif/onder-smoordrif","Location: Onder-Smoordrif","-------","5827","Onder-Smoordrif","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Uitenhage","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/uitenhage","Penford","http://penford.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/uitenhage/penford","Location: Penford","6229","-------","Uitenhage","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Port Elizabeth","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/port-elizabeth","Fairview","http://fairview.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/port-elizabeth/fairview","Location: Fairview","6070","-------","Port Elizabeth","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Peddie","http://postalcodez.co.za/postalcodes/ec/amatole/peddie","Ndlambe","http://ndlambe.postalcodez.co.za/postalcode/ec/amatole/peddie/ndlambe","Location: Ndlambe","6139","-------","Peddie","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","East London","http://postalcodez.co.za/postalcodes/ec/amatole/east-london","Braelyn Ext 4","http://braelyn-ext-4.postalcodez.co.za/postalcode/ec/amatole/east-london/braelyn-ext-4","Location: Braelyn Ext 4","5201","-------","East London","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Cacadu","http://postalcodez.co.za/postalcodes/ec/cacadu","Grahamstown","http://postalcodez.co.za/postalcodes/ec/cacadu/grahamstown","Irvinghoogte","http://irvinghoogte.postalcodez.co.za/postalcode/ec/cacadu/grahamstown/irvinghoogte","Location: Irvinghoogte","6139","-------","Grahamstown","Cacadu","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Nelson Mandela Bay","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay","Gambleville","http://postalcodez.co.za/postalcodes/ec/nelson-mandela-bay/gambleville","Thomas Gamble","http://thomas-gamble.postalcodez.co.za/postalcode/ec/nelson-mandela-bay/gambleville/thomas-gamble","Location: Thomas Gamble","6241","-------","Gambleville","Nelson Mandela Bay","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","East London","http://postalcodez.co.za/postalcodes/ec/amatole/east-london","Ocean View","http://ocean-view.postalcodez.co.za/postalcode/ec/amatole/east-london/ocean-view","Location: Ocean View","5247","-------","East London","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
"Bhisho","5605","5605","Amatole","http://postalcodez.co.za/postalcodes/ec/amatole","Graaff-Reinet","http://postalcodez.co.za/postalcodes/ec/amatole/graaff-reinet","Hillside","http://hillside.postalcodez.co.za/postalcode/ec/amatole/graaff-reinet/hillside","Location: Hillside","6280","-------","Graaff-Reinet","Amatole","Eastern Cape","EC Capital City:Bhisho","South Africa"
