province;province-href;cc_capital-city;cc_street-code;cc_Box-Code;area;area-href;area_list;area_list-href;suburblist;suburblist-href;s_location;s_streetcode;s_boxcode;s_area;s_municipality;s_province;s_capitalcity;s_country
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Carletonville;http://postalcodez.co.za/postalcodes/nw/southern/carletonville;Greenpan;http://greenpan.postalcodez.co.za/postalcode/nw/southern/carletonville/greenpan;Location: Greenpan;-------;2516;Carletonville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Zeerust;http://postalcodez.co.za/postalcodes/nw/central/zeerust;Ikageleng;http://ikageleng.postalcodez.co.za/postalcode/nw/central/zeerust/ikageleng;Location: Ikageleng;2865;-------;Zeerust;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mareetsane;http://postalcodez.co.za/postalcodes/nw/central/mareetsane;Mareetsane;http://mareetsane.postalcodez.co.za/postalcode/nw/central/mareetsane/mareetsane;Location: Mareetsane;-------;2715;Mareetsane;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Potchefstroom;http://postalcodez.co.za/postalcodes/nw/southern/potchefstroom;Tshepisong Ext 7;http://tshepisong-ext-7.postalcodez.co.za/postalcode/nw/southern/potchefstroom/tshepisong-ext-7;Location: Tshepisong Ext 7;2531;-------;Potchefstroom;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Fochville;http://postalcodez.co.za/postalcodes/nw/southern/fochville;Kokosi Uit 4;http://kokosi-uit-4.postalcodez.co.za/postalcode/nw/southern/fochville/kokosi-uit-4;Location: Kokosi Uit 4;2515;2515;Fochville;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Carletonville;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/carletonville;Doornfontein;http://doornfontein.postalcodez.co.za/postalcode/nw/bojanala-platinum/carletonville/doornfontein;Location: Doornfontein;2500;2500;Carletonville;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Southern;http://postalcodez.co.za/postalcodes/nw/southern;Potchefstroom;http://postalcodez.co.za/postalcodes/nw/southern/potchefstroom;Tshepisong;http://tshepisong.postalcodez.co.za/postalcode/nw/southern/potchefstroom/tshepisong;Location: Tshepisong;-------;2531;Potchefstroom;Southern;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Central;http://postalcodez.co.za/postalcodes/nw/central;Mafikeng;http://postalcodez.co.za/postalcodes/nw/central/mafikeng;Radithuso;http://radithuso.postalcodez.co.za/postalcode/nw/central/mafikeng/radithuso;Location: Radithuso;-------;2738;Mafikeng;Central;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Letlhabile Blok F;http://letlhabile-blok-f.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/letlhabile-blok-f;Location: Letlhabile Blok F;264;-------;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
North West;http://postalcodez.co.za/postalcodes/nw;Mahikeng;2745;2745;Bojanala Platinum;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum;Brits;http://postalcodez.co.za/postalcodes/nw/bojanala-platinum/brits;Brits Ext 8;http://brits-ext-8.postalcodez.co.za/postalcode/nw/bojanala-platinum/brits/brits-ext-8;Location: Brits Ext 18;250;-------;Brits;Bojanala Platinum;North West;NW Capital City:Mahikeng;South Africa
