cc_capital-city,cc_street-code,cc_Box-Code,area,area-href,area_list,area_list-href,suburblist,suburblist-href,s_location,s_streetcode,s_boxcode,s_area,s_municipality,s_province,s_capitalcity,s_country
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Eshowe","http://postalcodez.co.za/postalcodes/zn/uthungulu/eshowe","Industriele Gebied","http://industriele-gebied.postalcodez.co.za/postalcode/zn/uthungulu/eshowe/industriele-gebied","Location: Industriele Gebied","3815","-------","Eshowe","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Osizweni","http://postalcodez.co.za/postalcodes/zn/amajuba/osizweni","Osizweni","http://osizweni.postalcodez.co.za/postalcode/zn/amajuba/osizweni/osizweni","Location: Osizweni","-------","2952","Osizweni","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Uthukela","http://postalcodez.co.za/postalcodes/zn/uthukela","Ladysmith","http://postalcodez.co.za/postalcodes/zn/uthukela/ladysmith","Moba","http://moba.postalcodez.co.za/postalcode/zn/uthukela/ladysmith/moba","Location: Moba","-------","3370","Ladysmith","Uthukela","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umzinyathi","http://postalcodez.co.za/postalcodes/zn/umzinyathi","Wasbank","http://postalcodez.co.za/postalcodes/zn/umzinyathi/wasbank","Ezihlabathini","http://ezihlabathini.postalcodez.co.za/postalcode/zn/umzinyathi/wasbank/ezihlabathini","Location: Ezihlabathini","-------","2920","Wasbank","Umzinyathi","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Chatsworth","http://postalcodez.co.za/postalcodes/zn/ethekwini/chatsworth","Pompeni","http://pompeni.postalcodez.co.za/postalcode/zn/ethekwini/chatsworth/pompeni","Location: Pompeni","-------","4142","Chatsworth","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Impendle","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/impendle","Inzinga","http://inzinga.postalcodez.co.za/postalcode/zn/umgungundlovu/impendle/inzinga","Location: Inzinga","-------","3227","Impendle","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Sisonke","http://postalcodez.co.za/postalcodes/zn/sisonke","Kokstad","http://postalcodez.co.za/postalcodes/zn/sisonke/kokstad","Donnybrook","http://donnybrook.postalcodez.co.za/postalcode/zn/sisonke/kokstad/donnybrook","Location: Donnybrook","-------","3237","Kokstad","Sisonke","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Inanda","http://postalcodez.co.za/postalcodes/zn/ethekwini/inanda","Senzokuhle","http://senzokuhle.postalcodez.co.za/postalcode/zn/ethekwini/inanda/senzokuhle","Location: Senzokuhle","-------","4310","Inanda","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Hillcrest","http://postalcodez.co.za/postalcodes/zn/ethekwini/hillcrest","Kwangcolosi","http://kwangcolosi.postalcodez.co.za/postalcode/zn/ethekwini/hillcrest/kwangcolosi","Location: Kwangcolosi","-------","3650","Hillcrest","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Durban","http://postalcodez.co.za/postalcodes/zn/ethekwini/durban","Bereaweg","http://bereaweg.postalcodez.co.za/postalcode/zn/ethekwini/durban/bereaweg","Location: Bereaweg","-------","4007","Durban","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Dannhauser","http://postalcodez.co.za/postalcodes/zn/uthungulu/dannhauser","Fairbreeze","http://fairbreeze.postalcodez.co.za/postalcode/zn/uthungulu/dannhauser/fairbreeze","Location: Fairbreeze","-------","3080","Dannhauser","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Madadeni","http://postalcodez.co.za/postalcodes/zn/amajuba/madadeni","Madadeni Section 2","http://madadeni-section-2.postalcodez.co.za/postalcode/zn/amajuba/madadeni/madadeni-section-2","Location: Madadeni Section 2","2951","2951","Madadeni","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Uthukela","http://postalcodez.co.za/postalcodes/zn/uthukela","Bergville","http://postalcodez.co.za/postalcodes/zn/uthukela/bergville","Rookdale","http://rookdale.postalcodez.co.za/postalcode/zn/uthukela/bergville/rookdale","Location: Rookdale","-------","3351","Bergville","Uthukela","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Durban","http://postalcodez.co.za/postalcodes/zn/ethekwini/durban","Umbilo","http://umbilo.postalcodez.co.za/postalcode/zn/ethekwini/durban/umbilo","Location: Umbilo","4001","4075","Durban","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Umkomaas","http://postalcodez.co.za/postalcodes/zn/ethekwini/umkomaas","Umkomaas","http://umkomaas.postalcodez.co.za/postalcode/zn/ethekwini/umkomaas/umkomaas","Location: Umkomaas","-------","4170","Umkomaas","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","eThekwini","http://postalcodez.co.za/postalcodes/zn/ethekwini","Pinetown","http://postalcodez.co.za/postalcodes/zn/ethekwini/pinetown","Polopony","http://polopony.postalcodez.co.za/postalcode/zn/ethekwini/pinetown/polopony","Location: Polopony","-------","3624","Pinetown","eThekwini","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","uThungulu","http://postalcodez.co.za/postalcodes/zn/uthungulu","Nkandla","http://postalcodez.co.za/postalcodes/zn/uthungulu/nkandla","Lushaba","http://lushaba.postalcodez.co.za/postalcode/zn/uthungulu/nkandla/lushaba","Location: Lushaba","-------","3855","Nkandla","uThungulu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umzinyathi","http://postalcodez.co.za/postalcodes/zn/umzinyathi","Kranskop","http://postalcodez.co.za/postalcodes/zn/umzinyathi/kranskop","Uyaya","http://uyaya.postalcodez.co.za/postalcode/zn/umzinyathi/kranskop/uyaya","Location: Uyaya","-------","3269","Kranskop","Umzinyathi","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Umgungundlovu","http://postalcodez.co.za/postalcodes/zn/umgungundlovu","Pietermaritzburg","http://postalcodez.co.za/postalcodes/zn/umgungundlovu/pietermaritzburg","Cinderella Park","http://cinderella-park.postalcodez.co.za/postalcode/zn/umgungundlovu/pietermaritzburg/cinderella-park","Location: Cinderella Park","3201","-------","Pietermaritzburg","Umgungundlovu","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
"Pietermaritzburg","3201","3200","Amajuba","http://postalcodez.co.za/postalcodes/zn/amajuba","Mtubatuba","http://postalcodez.co.za/postalcodes/zn/amajuba/mtubatuba","Mgeza","http://mgeza.postalcodez.co.za/postalcode/zn/amajuba/mtubatuba/mgeza","Location: Mgeza","-------","3935","Mtubatuba","Amajuba","KwaZulu-Natal","ZN Capital City:Pietermaritzburg","South Africa"
